player_name,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"VanDerLaan, John",Korn Ferry Tour,382,-36,null,0,-0.816
"Vogel, T.J.",Korn Ferry Tour,383,50,null,0,-0.816
"Van Driel, Darius",DP World Tour,384,0,270,-5,-0.817
"Schmidt, Ben",Challenge Tour,385,1,474,-5,-0.82
"Von Dellingshausen, Nicolai",DP World Tour,386,1,434,-9,-0.82
"Song, Younghan",Other Tours,387,1,327,-6,-0.822
"Kang, Kyungnam",Other Tours,388,1,448,-16,-0.826
"Willett, Danny",PGA Tour,389,26,431,-7,-0.829
"Gabrelcik, Nick",Korn Ferry Tour,390,1,null,0,-0.83
"Hidalgo, Angel",DP World Tour,391,2,190,-4,-0.835
"Riedel, Matthew",Korn Ferry Tour,392,-13,null,0,-0.837
"Smylie, Elvis",Other Tours,393,50,202,5,-0.84
"Baddeley, Aaron",PGA Tour,394,0,347,-2,-0.84
"Kjettrup, Frederik",Other Tours,395,1,261,-5,-0.845
"Brennan, Michael",Other Tours,396,1,null,0,-0.846
"Dantorp, Jens",DP World Tour,397,-23,365,-15,-0.846
"Cone, Trevor",Korn Ferry Tour,398,2,386,-1,-0.855
"Korhonen, Mikko",DP World Tour,399,2,null,0,-0.856
"Alexander, Tyson",PGA Tour,400,44,415,15,-0.856
"Hitt, Austin",Korn Ferry Tour,401,-3,459,-19,-0.859
"De Leo, Gregorio",Challenge Tour,402,-10,null,0,-0.862
"Langer, Bernhard",PGA TOUR Champions,403,-1,null,0,-0.864
"Hebert, Benjamin",Challenge Tour,404,-1,406,-12,-0.864
"Kieffer, Maximilian",DP World Tour,405,0,367,-6,-0.866
"Teater, Josh",Korn Ferry Tour,406,-11,315,-1,-0.87
"Lindheim, Nicholas",PGA Tour,407,1,null,0,-0.871
"Sharma, Shubhankar",DP World Tour,408,-1,262,-5,-0.871
"Ford, David",Amateur Events,409,1,null,0,-0.872
"Stanger, Jimmy",PGA Tour,410,2,353,-4,-0.873
"Gomez, Fabian",Korn Ferry Tour,411,-7,490,-10,-0.874
"Reitan, Kristoffer",DP World Tour,412,-60,378,-12,-0.875
"Naidoo, Dylan",Other Tours,413,0,246,0,-0.881
"Luck, Curtis",Korn Ferry Tour,414,-24,334,2,-0.882
"Els, Ernie",PGA TOUR Champions,415,2,null,0,-0.883
"Law, David",DP World Tour,416,2,422,-11,-0.883
"Siem, Marcel",DP World Tour,417,21,212,-3,-0.888
"Thornberry, Braden",Korn Ferry Tour,418,-49,282,-6,-0.888
"Sloan, Roger",PGA Tour,419,-5,383,-12,-0.888
"Russell, Miles",Amateur Events,420,0,null,0,-0.888
"Campos, Rafael",PGA Tour,421,-10,186,-6,-0.892
"Larrazabal, Pablo",DP World Tour,422,0,221,-4,-0.893
"Maas, Christiaan",Amateur Events,423,0,null,0,-0.895
"Maguire, Jack",Korn Ferry Tour,424,1,468,-8,-0.897
